location,price,m2,price/m2,details,floor,build
"град Шумен, Боян Българанов 1",67 000 лв.,43 m2,(1558 лв./m2),Продава 1-СТАЕН,6-ти от 7,"Строителство: Панел, 1980 г."
"град Шумен, Боян Българанов 1, старият Обръщач",79 000 лв.,43 m2,(1837 лв./m2),Продава 1-СТАЕН,6-ти от 8,Строителство: Панел
"град Шумен, Боян Българанов 2",34 850 EUR,41 m2,(850 EUR/m2),Продава 1-СТАЕН,2-ри от 8,Газ: ДА
"град Шумен, Болницата",60 000 EUR,63 m2,(952 EUR/m2),Продава 2-СТАЕН,2-ри от 5,Газ: ДА
"град Шумен, Болницата, 'Мадара'    3",64 800 EUR,72 m2,(900 EUR/m2),Продава 2-СТАЕН,4-ти от 6,Газ: НЕ
"град Шумен, Боян Българанов 2",50 840 EUR,62 m2,(820 EUR/m2),Продава 2-СТАЕН,2-ри от 8,Газ: ДА
"град Шумен, Боян Българанов 2",54 940 EUR,67 m2,(820 EUR/m2),Продава 2-СТАЕН,2-ри от 8,Газ: ДА
"град Шумен, Боян Българанов 2",123 000 лв.,64 m2,(1922 лв./m2),Продава 2-СТАЕН,4-ти от 6,"Строителство: Панел, 1980 г."
"град Шумен, Добруджански",135 000 лв.,62 m2,(2177 лв./m2),Продава 2-СТАЕН,8-ми от 14,Строителство: ЕПК
"град Шумен, Еверест",73 000 лв.,65 m2,(1123 лв./m2),Продава 2-СТАЕН,3-ти от 8,Строителство: Панел
"град Шумен, Пазара",132 000 лв.,66 m2,(2000 лв./m2),Продава 2-СТАЕН,4-ти от 4,Строителство: Тухла
"град Шумен, Тракия, ТРАКИЯ - ЦЕНТЪР",127 000 лв.,62 m2,(2048 лв./m2),Продава 2-СТАЕН,4-ти от 8,"Строителство: Панел, 1986 г."
"град Шумен, Център, Руски паметник",129 000 лв.,70 m2,(1843 лв./m2),Продава 2-СТАЕН,4-ти от 6,Строителство: Тухла
"град Шумен, Болницата",89 000 EUR,103 m2,(864 EUR/m2),Продава 3-СТАЕН,3-ти от 4,Газ: ДА
"град Шумен, Болницата",185 000 лв.,83 m2,(2229 лв./m2),Продава 3-СТАЕН,1-ви от 8,"Строителство: ЕПК, 1980 г."
"град Шумен, Боян Българанов 2",63 960 EUR,78 m2,(820 EUR/m2),Продава 3-СТАЕН,2-ри от 8,Газ: ДА
"град Шумен, Боян Българанов 2",70 520 EUR,86 m2,(820 EUR/m2),Продава 3-СТАЕН,2-ри от 8,Газ: ДА
"град Шумен, Боян Българанов 2",73 800 EUR,90 m2,(820 EUR/m2),Продава 3-СТАЕН,2-ри от 8,Газ: ДА
"град Шумен, Боян Българанов 2",82 000 EUR,100 m2,(820 EUR/m2),Продава 3-СТАЕН,2-ри от 8,Газ: ДА
"град Шумен, Тракия",93 000 лв.,78 m2,(1192 лв./m2),Продава 3-СТАЕН,1-ви от 8,"Строителство: Панел, 1980 г."
"град Шумен, Център",180 000 лв.,85 m2,(2118 лв./m2),Продава 3-СТАЕН,2-ри от 3,Строителство: Тухла
"град Шумен, Болницата",128 700 EUR,143 m2,(900 EUR/m2),Продава 4-СТАЕН,6-ти от 6,Газ: ДА
"град Шумен, Еверест",60 500 EUR,101 m2,(599 EUR/m2),Продава 4-СТАЕН,3-ти от 10,Газ: НЕ
"град Шумен, Математическа гимназия",188 000 лв.,117 m2,(1607 лв./m2),Продава 4-СТАЕН,2-ри от 4,Строителство: Тухла
"град Шумен, 5-ти полк",40 700 EUR,43 m2,(947 EUR/m2),Продава 1-СТАЕН,12-ти от 14,Газ: НЕ
"град Шумен, Боян Българанов 1",79 000 лв.,42 m2,(1881 лв./m2),Продава 1-СТАЕН,Панел,"
"
"град Шумен, Боян Българанов 2",65 000 лв.,48 m2,(1354 лв./m2),Продава 1-СТАЕН,5-ти от 7,Строителство: Панел
"град Шумен, Добруджански",72 000 лв.,40 m2,(1800 лв./m2),Продава 1-СТАЕН,5-ти от 7,Строителство: Панел
"град Шумен, Добруджански",42 260 EUR,42 m2,(1006 EUR/m2),Продава 1-СТАЕН,1-ви от 4,"Строителство: Тухла, 2022 г."
