location,price,m2,price/m2,Rooms,floor,build,EUR price/m2
Боян Българанов 1,34324.0,43.0,(1558 лв./m2),1,6," Панел, 1980 г.",798.0
Боян Българанов 1,40471.0,43.0,(1837 лв./m2),1,6, Панел,941.0
Боян Българанов 2,34850.0,41.0,(850 EUR/m2),1,2, ДА,850.0
Болницата,60000.0,63.0,(952 EUR/m2),2,2, ДА,952.0
Болницата,64800.0,72.0,(900 EUR/m2),2,4, НЕ,900.0
Боян Българанов 2,50840.0,62.0,(820 EUR/m2),2,2, ДА,820.0
Боян Българанов 2,54940.0,67.0,(820 EUR/m2),2,2, ДА,820.0
Боян Българанов 2,63012.0,64.0,(1922 лв./m2),2,4," Панел, 1980 г.",985.0
Добруджански,69160.0,62.0,(2177 лв./m2),2,8, ЕПК,1115.0
Еверест,37398.0,65.0,(1123 лв./m2),2,3, Панел,575.0
Пазара,67623.0,66.0,(2000 лв./m2),2,4, Тухла,1025.0
Тракия,65061.0,62.0,(2048 лв./m2),2,4," Панел, 1986 г.",1049.0
Център,66086.0,70.0,(1843 лв./m2),2,4, Тухла,944.0
Болницата,89000.0,103.0,(864 EUR/m2),3,3, ДА,864.0
Болницата,94775.0,83.0,(2229 лв./m2),3,1," ЕПК, 1980 г.",1142.0
Боян Българанов 2,63960.0,78.0,(820 EUR/m2),3,2, ДА,820.0
Боян Българанов 2,70520.0,86.0,(820 EUR/m2),3,2, ДА,820.0
Боян Българанов 2,73800.0,90.0,(820 EUR/m2),3,2, ДА,820.0
Боян Българанов 2,82000.0,100.0,(820 EUR/m2),3,2, ДА,820.0
Тракия,47643.0,78.0,(1192 лв./m2),3,1," Панел, 1980 г.",611.0
Център,92213.0,85.0,(2118 лв./m2),3,2, Тухла,1085.0
Болницата,128700.0,143.0,(900 EUR/m2),4,6, ДА,900.0
Еверест,60500.0,101.0,(599 EUR/m2),4,3, НЕ,599.0
Математическа гимназия,96311.0,117.0,(1607 лв./m2),4,2, Тухла,823.0
5-ти полк,40700.0,43.0,(947 EUR/m2),1,12, НЕ,947.0
Боян Българанов 2,33299.0,48.0,(1354 лв./m2),1,5, Панел,694.0
Добруджански,36885.0,40.0,(1800 лв./m2),1,5, Панел,922.0
Добруджански,42260.0,42.0,(1006 EUR/m2),1,1," Тухла, 2022 г.",1006.0
Еверест,25102.0,40.0,(1225 лв./m2),1,1," Панел, 1990 г.",628.0
Тракия,31400.0,40.0,(785 EUR/m2),1,4, Тухла,785.0
Тракия,39447.0,40.0,(1925 лв./m2),1,2," Панел, 1985 г.",986.0
Тракия,40511.0,48.0,(844 EUR/m2),1,1," Тухла, 2022 г.",844.0
Център,16393.0,26.0,(1231 лв./m2),1,1, Тухла,630.0
Център,29201.0,30.0,(1900 лв./m2),1,1, Тухла,973.0
Болницата,55000.0,59.0,(932 EUR/m2),2,5, ДА,932.0
Болницата,55000.0,57.0,(965 EUR/m2),2,3, ДА,965.0
Болницата,55500.0,60.0,(925 EUR/m2),2,2, ДА,925.0
Болницата,56352.0,60.0,(1833 лв./m2),2,1, Панел,939.0
Болницата,56500.0,60.0,(942 EUR/m2),2,1, ДА,942.0
Болницата,58000.0,74.0,(784 EUR/m2),2,2," Панел, 1980 г.",784.0
Болницата,59500.0,63.0,(944 EUR/m2),2,1, ДА,944.0
Болницата,61000.0,63.0,(968 EUR/m2),2,1, ДА,968.0
Боян Българанов 1,44057.0,60.0,(1433 лв./m2),2,6, Панел,734.0
Боян Българанов 1,46000.0,59.0,(780 EUR/m2),2,8," Панел, 1980 г.",780.0
Боян Българанов 1,66086.0,69.0,(1870 лв./m2),2,4, Панел,958.0
Добруджански,52254.0,62.0,(1645 лв./m2),2,5, Панел,843.0
Добруджански,58914.0,62.0,(1855 лв./m2),2,2, Панел,950.0
Добруджански,61475.0,61.0,(1967 лв./m2),2,5, Панел,1008.0
Еверест,32787.0,64.0,(1000 лв./m2),2,5, Панел,512.0
Математическа гимназия,61475.0,64.0,(1875 лв./m2),2,5," Панел, 1980 г.",961.0
Пазара,58914.0,64.0,(1797 лв./m2),2,4," Панел, 1980 г.",921.0
Пазара,76844.0,68.0,(2206 лв./m2),2,4," ЕПК, 1975 г.",1130.0
Тракия,36885.0,60.0,(1200 лв./m2),2,4, Панел,615.0
Тракия,40471.0,46.0,(1717 лв./m2),2,2, Панел,880.0
Тракия,62500.0,64.0,(1906 лв./m2),2,3, Тухла,977.0
Център,36885.0,55.0,(1309 лв./m2),2,1, Тухла,671.0
Център,69000.0,70.0,(986 EUR/m2),2,2, НЕ,986.0
2-ри корпус,84360.0,105.0,(803 EUR/m2),3,2, НЕ,803.0
2-ри корпус,84529.0,105.0,(1571 лв./m2),3,2, Тухла,805.0
Болницата,83000.0,87.0,(954 EUR/m2),3,1, ДА,954.0
Болницата,84529.0,84.0,(1964 лв./m2),3,6, Панел,1006.0
Болницата,87000.0,99.0,(879 EUR/m2),3,1, ДА,879.0
Болницата,90000.0,100.0,(900 EUR/m2),3,5, ДА,900.0
Боян Българанов 2,61475.0,86.0,(1395 лв./m2),3,5, ДА,715.0
Добруджански,55840.0,76.0,(1434 лв./m2),3,8, Панел,735.0
Добруджански,61475.0,65.0,(1846 лв./m2),3,5," Панел, 1980 г.",946.0
Добруджански,78893.0,84.0,(1833 лв./m2),3,8, Панел,939.0
Добруджански,79406.0,80.0,(1938 лв./m2),3,8," Панел, 1990 г.",993.0
Пазара,81967.0,80.0,(2000 лв./m2),3,1," Тухла, 2020 г.",1025.0
Пазара,85000.0,63.0,(1349 EUR/m2),3,3, НЕ,1349.0
Пазара,102459.0,178.0,(1124 лв./m2),3,5," Тухла, 2015 г.",576.0
Пазара,105000.0,74.0,(1419 EUR/m2),3,2, НЕ,1419.0
Център,85890.0,86.0,(999 EUR/m2),3,4, НЕ,999.0
Център,86066.0,86.0,(1953 лв./m2),3,4, Тухла,1001.0
5-ти полк,70441.0,100.0,(1375 лв./m2),4,5," Панел, 1980 г.",704.0
Болницата,55840.0,89.0,(1225 лв./m2),4,9, ЕПК,627.0
Военно училище,78381.0,100.0,(1530 лв./m2),4,1," Тухла, 1962 г.",784.0
Добруджански,87090.0,92.0,(1848 лв./m2),4,3," Тухла, 1980 г.",947.0
Добруджански,112705.0,98.0,(2245 лв./m2),4,4, Тухла,1150.0
5-ти полк,28176.0,43.0,(1279 лв./m2),1,7," Панел, 1980 г.",655.0
5-ти полк,35348.0,43.0,(1605 лв./m2),1,12, ЕПК,822.0
5-ти полк,35860.0,40.0,(1750 лв./m2),1,12, ЕПК,896.0
5-ти полк,35861.0,38.0,(1842 лв./m2),1,12, ЕПК,944.0
5-ти полк,36117.0,43.0,(1640 лв./m2),1,12," ЕПК, 1980 г.",840.0
5-ти полк,41925.0,41.0,(1023 EUR/m2),1,1, НЕ,1023.0
Басейна,33965.0,42.0,(1579 лв./m2),1,3," Панел, 1990 г.",809.0
Басейна,37910.0,44.0,(1682 лв./m2),1,1," Панел, 1980 г.",862.0
Басейна,37999.0,43.0,(884 EUR/m2),1,1," Панел, 1980 г.",884.0
Басейна,38000.0,44.0,(864 EUR/m2),1,1, Панел,864.0
Басейна,38000.0,48.0,(792 EUR/m2),1,1," Панел, 1988 г.",792.0
Басейна,38000.0,44.0,(864 EUR/m2),1,1, Панел,864.0
Басейна,38000.0,46.0,(826 EUR/m2),1,1," Панел, 1980 г.",826.0
Басейна,38000.0,47.0,(809 EUR/m2),1,1, Панел,809.0
Басейна,38000.0,44.0,(864 EUR/m2),1,1," Панел, 1985 г.",864.0
Басейна,38000.0,44.0,(864 EUR/m2),1,1, Панел,864.0
Басейна,38000.0,47.0,(809 EUR/m2),1,1, НЕ,809.0
Басейна,38422.0,44.0,(1705 лв./m2),1,1," Панел, 1985 г.",873.0
Болницата,30738.0,27.0,(2222 лв./m2),1,1," Тухла, 1983 г.",1138.0
