location,price,m2,price/m2,details,floor,build
"град Пловдив, Кършияка",31 813 EUR,22 m2,(1446 EUR/m2),Продава 1-СТАЕН,1-ви от 6,"Строителство: Тухла, 2021 г."
"град Пловдив, Кършияка, х-л Ст.Петербург",35 419 EUR,46 m2,(770 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Пловдив, Кършияка",55 512 EUR,47 m2,(1181 EUR/m2),Продава 1-СТАЕН,2-ри от 7,"Строителство: Тухла, 2022 г."
"град Пловдив, Кючук Париж, I-во РПУ",30 439 EUR,37 m2,(823 EUR/m2),Продава 1-СТАЕН,5-ти от 11,Строителство: Тухла
"град Пловдив, Кючук Париж, бул.Южен",30 729 EUR,43 m2,(715 EUR/m2),Продава 1-СТАЕН,7-ми от 11,Строителство: Тухла
"град Пловдив, Кючук Париж",34 400 EUR,35 m2,(983 EUR/m2),Продава 1-СТАЕН,3-ти от 6,"Строителство: Тухла, 2022 г."
"град Пловдив, Кючук Париж, бул. Южен",37 000 EUR,51 m2,(725 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Пловдив, Кючук Париж",46 000 EUR,39 m2,(1179 EUR/m2),Продава 1-СТАЕН,10-ти от 10,"Строителство: Тухла, 2018 г."
"град Пловдив, Остромила",43 040 EUR,62 m2,(694 EUR/m2),Продава 1-СТАЕН,1-ви от 4,Газ: НЕ
"град Пловдив, Тракия, парк Лаута",42 600 EUR,38 m2,(1121 EUR/m2),Продава 1-СТАЕН,11-ти от 14,"Строителство: ЕПК, 1988 г."
"град Пловдив, Тракия",46 500 EUR,36 m2,(1292 EUR/m2),Продава 1-СТАЕН,2-ри от 8,"Строителство: Панел, 1987 г."
"град Пловдив, Христо Смирненски, Бенз. Лукойл",33 599 EUR,40 m2,(840 EUR/m2),Продава 1-СТАЕН,2-ри от 10,Строителство: Тухла
"град Пловдив, Христо Смирненски",41 300 EUR,51 m2,(810 EUR/m2),Продава 1-СТАЕН,6-ти от 6,Газ: НЕ
"град Пловдив, Христо Смирненски, Гребен канал",42 720 EUR,48 m2,(890 EUR/m2),Продава 1-СТАЕН,4-ти от 5,"Строителство: Тухла, 2022 г."
"град Пловдив, Христо Смирненски, МОЛ Пловдив",43 375 EUR,40 m2,(1084 EUR/m2),Продава 1-СТАЕН,4-ти от 10,Строителство: Тухла
"град Пловдив, Христо Смирненски",44 951 EUR,48 m2,(936 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Пловдив, Център, Каменица 2",43 899 EUR,40 m2,(1097 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Пловдив, Център",44 110 EUR,41 m2,(1076 EUR/m2),Продава 1-СТАЕН,5-ти от 9,Строителство: Тухла
"град Пловдив, Южен, ОАЗИС 6",44 000 EUR,37 m2,(1189 EUR/m2),Продава 1-СТАЕН,3-ти от 10,"Строителство: Тухла, 2012 г."
"град Пловдив, Въстанически",51 480 EUR,70 m2,(735 EUR/m2),Продава 2-СТАЕН,8-ми от 9,Строителство: Тухла
"град Пловдив, Въстанически, парк Белите брези",52 000 EUR,50 m2,(1040 EUR/m2),Продава 2-СТАЕН,7-ми от 8,"Строителство: Панел, 1984 г."
"град Пловдив, Въстанически, Автогара Родопи",65 000 EUR,64 m2,(1016 EUR/m2),Продава 2-СТАЕН,3-ти от 4,Строителство: Панел
"град Пловдив, Гагарин",61 900 EUR,64 m2,(967 EUR/m2),Продава 2-СТАЕН,3-ти от 6,"Строителство: Панел, 1985 г."
"град Пловдив, Западен",51 500 EUR,63 m2,(817 EUR/m2),Продава 2-СТАЕН,1-ви от 4,Газ: НЕ
