location,price,m2,price/m2,details,floor,build
"град София, Банишора, бул. Княгиня Мария Луиза",46 500 EUR,25 m2,(1860 EUR/m2),Продава 1-СТАЕН,15-ти от 18,Строителство: ЕПК
"град София, Банишора",96 000 EUR,48 m2,(2000 EUR/m2),Продава 1-СТАЕН,2-ри от 7,ТEЦ: ДА
"град София, Борово",109 900 EUR,42 m2,(2617 EUR/m2),Продава 1-СТАЕН,9-ти от 12,Газ: НЕ
"град София, Бояна",84 900 EUR,46 m2,(1846 EUR/m2),Продава 1-СТАЕН,4-ти от 5,Газ: ДА
"град София, Гео Милев",112 000 EUR,30 m2,(3733 EUR/m2),Продава 1-СТАЕН,8-ми от 8,Газ: НЕ
"град София, Дружба 1",63 900 EUR,45 m2,(1420 EUR/m2),Продава 1-СТАЕН,5-ти от 9,"Строителство: Тухла, 2022 г."
"град София, Дружба 1",74 500 EUR,46 m2,(1620 EUR/m2),Продава 1-СТАЕН,3-ти от 6,Газ: НЕ
"град София, Дружба 1",75 900 EUR,48 m2,(1581 EUR/m2),Продава 1-СТАЕН,3-ти от 8,ТEЦ: ДА
"град София, Дружба 2",74 000 EUR,48 m2,(1542 EUR/m2),Продава 1-СТАЕН,6-ти от 8,"Строителство: Панел, 1987 г."
"град София, Дружба 2, ул. Обиколна",84 500 EUR,47 m2,(1798 EUR/m2),Продава 1-СТАЕН,4-ти от 8,ТEЦ: ДА
"град София, Дървеница",67 500 EUR,25 m2,(2700 EUR/m2),Продава 1-СТАЕН,5-ти от 7,"Строителство: Панел, 1982 г."
"град София, Дървеница, бул. Андрей Ляпчев",72 441 EUR,51 m2,(1420 EUR/m2),Продава 1-СТАЕН,2-ри от 6,Газ: НЕ
"град София, Дървеница",99 800 EUR,47 m2,(2123 EUR/m2),Продава 1-СТАЕН,6-ти от 8,"Строителство: Панел, 1986 г."
"град София, Зона Б-18",62 000 EUR,36 m2,(1722 EUR/m2),Продава 1-СТАЕН,4-ти от 7,Газ: НЕ
"град София, Зона Б-19",36 000 EUR,18 m2,(2000 EUR/m2),Продава 1-СТАЕН,НЕ,ТEЦ: ДА
"град София, Кръстова вада, бул. Черни връх",81 245 EUR,56 m2,(1451 EUR/m2),Продава 1-СТАЕН,7-ми от 14,Газ: ДА
