location,price,m2,price/m2,details,floor,build
"град Велико Търново, Бузлуджа",30 000 EUR,30 m2,(1000 EUR/m2),Продава 1-СТАЕН,2-ри от 4,Строителство: Тухла
"град Велико Търново, Бузлуджа",56 500 EUR,60 m2,(942 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",70 000 EUR,75 m2,(933 EUR/m2),Продава 2-СТАЕН,ДА,ТEЦ: НЕ
"град Велико Търново, Зона Б",64 000 EUR,54 m2,(1185 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Картала",60 000 EUR,81 m2,(741 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Картала",65 700 EUR,77 m2,(853 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Колю Фичето",40 000 EUR,45 m2,(889 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Колю Фичето",53 300 EUR,56 m2,(952 EUR/m2),Продава 2-СТАЕН,5-ти от 6,Строителство: Тухла
"град Велико Търново, Колю Фичето",55 900 EUR,60 m2,(932 EUR/m2),Продава 2-СТАЕН,ДА,Строителство: Тухла
"град Велико Търново, Център",42 000 EUR,39 m2,(1077 EUR/m2),Продава 2-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",56 500 EUR,75 m2,(753 EUR/m2),Продава 3-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",81 000 EUR,71 m2,(1141 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",115 000 EUR,103 m2,(1117 EUR/m2),Продава 3-СТАЕН,5-ти от 6,Строителство: Тухла
"град Велико Търново, Зона Б",72 000 EUR,113 m2,(637 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Картала",120 000 EUR,120 m2,(1000 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Колю Фичето",96 900 EUR,110 m2,(881 EUR/m2),Продава 3-СТАЕН,3-ти от 6,"Строителство: Тухла, 2020 г."
"град Велико Търново, Център",64 900 EUR,65 m2,(998 EUR/m2),Продава 3-СТАЕН,5-ти от 6,Газ: НЕ
"град Велико Търново, Център",67 500 EUR,78 m2,(865 EUR/m2),Продава 3-СТАЕН,8-ми от 8,Строителство: Тухла
"град Велико Търново, Център",70 000 EUR,86 m2,(814 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Велико Търново, Център",75 000 EUR,97 m2,(773 EUR/m2),Продава 3-СТАЕН,5-ти от 8,Газ: ДА
"град Велико Търново, Център, ТОП ЦЕНТЪР",130 000 EUR,100 m2,(1300 EUR/m2),Продава 3-СТАЕН,2-ри от 3,"Строителство: Тухла, 1978 г."
"град Велико Търново, Акация",29 000 EUR,28 m2,(1036 EUR/m2),Продава 1-СТАЕН,Партер от 7,Строителство: Тухла
"град Велико Търново, Варуша",46 000 EUR,67 m2,(687 EUR/m2),Продава 1-СТАЕН,1-ви от 4,Газ: ДА
"град Велико Търново, Зона Б",36 000 EUR,29 m2,(1241 EUR/m2),Продава 1-СТАЕН,1-ви от 6,Строителство: Тухла
"град Велико Търново, Колю Фичето",38 500 EUR,40 m2,(963 EUR/m2),Продава 1-СТАЕН,5-ти от 7,Газ: НЕ
"град Велико Търново, Колю Фичето",75 500 лв.,37 m2,(2041 лв./m2),Продава 1-СТАЕН,4-ти от 6,Строителство: Тухла
