location,price,m2,price/m2,details,floor,build
"град Варна, Базар Левски",46 900 EUR,37 m2,(1268 EUR/m2),Продава 1-СТАЕН,1-ви от 4,ТEЦ: НЕ
"град Варна, Бриз",46 000 EUR,57 m2,(807 EUR/m2),Продава 1-СТАЕН,2-ри от 7,"Строителство: Тухла, 2022 г."
"град Варна, Бриз",56 000 EUR,42 m2,(1333 EUR/m2),Продава 1-СТАЕН,3-ти от 3,"Строителство: Тухла, 2021 г."
"град Варна, Виница",28 750 EUR,43 m2,(669 EUR/m2),Продава 1-СТАЕН,2-ри от 5,Строителство: Тухла
"град Варна, ВИНС-Червен площад, Генералите",69 900 EUR,50 m2,(1398 EUR/m2),Продава 1-СТАЕН,2-ри от 5,"Строителство: Тухла, 2000 г."
"град Варна, Владислав Варненчик 1",22 320 EUR,33 m2,(676 EUR/m2),Продава 1-СТАЕН,2-ри от 7,Строителство: Тухла
"град Варна, Гранд Мол",36 130 EUR,37 m2,(976 EUR/m2),Продава 1-СТАЕН,5-ти от 6,"Строителство: Тухла, 2022 г."
"град Варна, Изгрев",35 990 EUR,35 m2,(1028 EUR/m2),Продава 1-СТАЕН,3-ти от 5,"Строителство: Тухла, 2022 г."
"град Варна, к.к. Златни пясъци",35 000 EUR,40 m2,(875 EUR/m2),Продава 1-СТАЕН,3-ти от 7,"Строителство: Тухла, 2010 г."
"град Варна, к.к. Св.Св. Константин и Елена",40 100 EUR,34 m2,(1179 EUR/m2),Продава 1-СТАЕН,Партер от 5,"Строителство: Тухла, 2024 г."
"град Варна, Колхозен пазар",43 000 EUR,44 m2,(977 EUR/m2),Продава 1-СТАЕН,3-ти от 5,"Строителство: Тухла, 2008 г."
"град Варна, Левски 1",41 500 EUR,37 m2,(1122 EUR/m2),Продава 1-СТАЕН,4-ти от 9,"Строителство: Тухла, 2022 г."
"град Варна, Левски 2",44 000 EUR,38 m2,(1158 EUR/m2),Продава 1-СТАЕН,Партер от 5,"Строителство: Тухла, 2018 г."
"град Варна, Лятно кино Тракия",41 990 EUR,46 m2,(913 EUR/m2),Продава 1-СТАЕН,5-ти от 5,"Строителство: Тухла, 2021 г."
"град Варна, Младост 1",38 000 EUR,36 m2,(1056 EUR/m2),Продава 1-СТАЕН,2-ри от 5,"Строителство: Тухла, 2022 г."
"град Варна, Младост 1",38 000 EUR,34 m2,(1118 EUR/m2),Продава 1-СТАЕН,2-ри от 4,ТEЦ: НЕ
