App_no,type,price,sqrm,total_rooms,thumbnail_text,details
1,Апартамент,60963, 95 ,4,Частично обзаведен, 95 м² 4 стаи
2,Апартамент,56352, 68 ,2,От седмица в Реалистимо, 68 м² 2 стаи 1 спалня
3,Апартамент,31400, 40 ,1,От 8 дни в Реалистимо, 40 м² 1 стая 1 спалня
4,Апартамент,31506, 40 ,1,От 13 дни в Реалистимо, 40 м² 1 стая 1 спалня
5,Апартамент,43033, 60 ,2,От 13 дни в Реалистимо, 60 м² 2 стаи 1 спалня
6,Апартамент,43033, 64 ,2,Частично обзаведен, 64 м² 2 стаи 1 спалня
7,Апартамент,39447, 40 ,2,Обзаведен, 40 м² 2 стаи 1 спалня
8,Апартамент,66598, 83 ,4,От 33 дни в Реалистимо, 83 м² 4 стаи 2 спални
9,Апартамент,39447, 40 ,1,Частично обзаведен, 40 м² 1 стая 1 спалня
10,Апартамент,39500, 40 ,1,Частично обзаведен, 40 м² 1 стая 1 спалня
11,Апартамент,39447, 40 ,2,Обзаведен, 40 м² 2 стаи 1 спалня
12,Апартамент,39447, 40 ,2,Обзаведен, 40 м² 2 стаи 1 спалня
13,Апартамент,39447, 40 ,2,От 36 дни в Реалистимо, 40 м² 2 стаи 1 спалня
14,Апартамент,39447, 40 ,1,Реновиран през 2022, 40 м² 1 стая 1 спалня
15,Апартамент,62500, 72 ,2,С паркомясто, 72 м² 2 стаи 1 спалня
16,Апартамент,40215, 72 ,3,Частично обзаведен, 72 м² 3 стаи 1 спалня
17,Апартамент,34836, 45 ,3,Частично обзаведен, 45 м² 3 стаи 1 спалня
18,Апартамент,47643, 78 ,4,Частично обзаведен, 78 м² 4 стаи 2 спални
19,Апартамент,52766, 71 ,3,От 41 дни в Реалистимо, 71 м² 3 стаи 1 спалня
20,Апартамент,62500, 70 ,2,Обзаведен, 70 м² 2 стаи 1 спалня
21,Апартамент,31250, 37 ,1,Частично обзаведен, 37 м² 1 стая 1 спалня
22,Апартамент,31700, 38 ,1,Обзаведен, 38 м² 1 стая 1 спалня
23,Апартамент,61500, 95 ,3,Обзаведен, 95 м² 3 стаи 2 спални
24,Апартамент,31762, 38 ,1,Частично обзаведен, 38 м² 1 стая 1 спалня
25,Апартамент,61475, 86 ,3,Частично обзаведен, 86 м² 3 стаи 2 спални
26,Апартамент,31250, 32 ,1,От 57 дни в Реалистимо, 32 м² 1 стая 1 спалня
27,Апартамент,34324, 40 ,2,Обзаведен, 40 м² 2 стаи 1 спалня
28,Апартамент,106990, 126, ,С паркомясто, 126 м² 4 стаи 3 спални
29,Апартамент,75998, 89 ,3,С паркомясто, 89 м² 3 стаи 2 спални
30,Апартамент,52216, 61 ,2,С паркомясто, 61 м² 2 стаи 1 спалня
31,Апартамент,40511, 48 ,1,С паркомясто, 48 м² 1 стая 1 спалня
32,Апартамент,40471, 72 ,2,Частично обзаведен, 72 м² 2 стаи 1 спалня
33,Апартамент,38422, 63 ,2,От 57 дни в Реалистимо, 63 м² 2 стаи 1 спалня
34,Апартамент,54816, 72 ,3,От 57 дни в Реалистимо, 72 м² 3 стаи 2 спални
35,Апартамент,65574, 82 ,2,С паркомясто, 82 м² 2 стаи 2 спални
37,Апартамент,130635, 150, ,С паркомясто, 150 м² 4 стаи 3 спални
38,Апартамент,65061, 101, ,Обзаведен, 101 м² 4 стаи 2 спални
39,Апартамент,61475, 86 ,3,С паркомясто, 86 м² 3 стаи 2 спални
40,Апартамент,74795, 80 ,4,С паркомясто, 80 м² 4 стаи 2 спални
41,Апартамент,40984, 58 ,3,С паркомясто, 58 м² 3 стаи 1 спалня
42,Апартамент,51230, 62 ,3,С паркомясто, 62 м² 3 стаи 1 спалня
43,Апартамент,64037, 105, ,От 57 дни в Реалистимо, 105 м² 4 стаи 2 спални
44,Апартамент,31250, 40 ,1,Частично обзаведен, 40 м² 1 стая 1 спалня
45,Апартамент,62500, 64 ,2,Обзаведен, 64 м² 2 стаи 1 спалня
48,Апартамент,62500, 86 ,3,Обзаведен, 86 м² 3 стаи 2 спални
49,Апартамент,74283, 82 ,3,В строеж, 82 м² 3 стаи 2 спални
50,Апартамент,53791, 64 ,2,В строеж, 64 м² 2 стаи 1 спалня
51,Апартамент,66598, 78 ,3,Частично обзаведен, 78 м² 3 стаи 2 спални
52,Апартамент,43545, 86 ,5,, 86 м² 5 стаи 2 спални
53,Апартамент,31506, 40 ,2,, 40 м² 2 стаи 1 спалня
57,Апартамент,66086, 76 ,3,Частично обзаведен, 76 м² 3 стаи 1 спалня
58,Апартамент,38422, 60 ,2,Частично обзаведен, 60 м² 2 стаи 1 спалня
59,Апартамент,46414, 64 ,2,Частично обзаведен, 64 м² 2 стаи 1 спалня
60,Апартамент,40984, 62 ,2,Частично обзаведен, 62 м² 2 стаи 1 спалня
61,Апартамент,53791, 89 ,3,Частично обзаведен, 89 м² 3 стаи 2 спални
62,Апартамент,74283, 86 ,3,Частично обзаведен, 86 м² 3 стаи 2 спални
64,Апартамент,65061, 103, ,Частично обзаведен, 103 м² 4 стаи 2 спални
65,Апартамент,46107, 60 ,3,Частично обзаведен, 60 м² 3 стаи 1 спалня
66,Апартамент,69160, 88 ,3,Частично обзаведен, 88 м² 3 стаи 2 спални
67,Апартамент,65574, 86 ,3,Обзаведен, 86 м² 3 стаи 2 спални
